,ID_LK_SK,age_0_34_%,age_35_59_%,age_60+_%,Einw_pro_qm
75,5122,36.51292670682731,35.633785140562246,27.85328815261044,1779.7632343086887
76,5124,38.87245966217246,34.10359442635348,27.02394591147406,2104.5311479304
77,5154,36.746480413153506,35.61101571192447,27.64250387492202,252.21129125134834
78,5158,33.94429299709276,35.472447105525404,30.583259897381836,1192.6820883060752
79,5162,34.922961284414654,36.37171928595343,28.705319429631913,782.4277436591375
80,5166,34.07496612976065,36.714335892418084,29.210697977821265,530.7040903280785
81,5170,33.68442114008208,35.51083167141139,30.804747188506532,440.93690065209057
82,5313,0.0,0.0,0.0,0.0
83,5314,42.87779061168864,33.620568481137205,23.501640907174156,2319.99149298171
84,5315,41.73510404692428,35.64500618976037,22.619889763315353,2680.5194805194806
85,5316,36.531818015356635,35.51801169447869,27.950170290164678,2077.3171040953466
86,5334,40.89672616636511,32.50069761371103,26.602576219923847,785.8537413522346
