Landkreis,ID_LK_SK,LK_SK,Bundesland,age_covid_0_34_%,age_covid_35_59_%,age_covid_60+_%,age_covid_unknown_%,gender_covid_f_%,gender_covid_m_%,gender_covid_unknown_%,Sterberate_%
LK Paderborn,5774,LK,Nordrhein-Westfalen,28.778135048231512,42.12218649517685,29.099678456591636,0.0,53.97148676171079,45.824847250509166,0.20366598778004072,5.144694533762058
LK Passau,9275,LK,Bayern,34.36363636363636,33.45454545454545,32.18181818181819,0.0,52.609603340292274,46.5553235908142,0.8350730688935281,4.181818181818182
LK Peine,3157,LK,Niedersachsen,18.88111888111888,46.15384615384615,34.96503496503497,0.0,53.84615384615385,46.15384615384615,0.0,7.6923076923076925
LK Pfaffenhofen a.d.Ilm,9186,LK,Bayern,24.099722991689752,44.87534626038781,31.024930747922436,0.0,51.34328358208955,48.656716417910445,0.0,5.263157894736842
LK Pinneberg,1056,LK,Schleswig-Holstein,20.666666666666668,40.666666666666664,38.666666666666664,0.0,53.38491295938105,46.61508704061896,0.0,6.666666666666667
LK Plön,1057,LK,Schleswig-Holstein,20.833333333333336,42.5,36.666666666666664,0.0,48.717948717948715,51.28205128205128,0.0,6.666666666666667
LK Potsdam-Mittelmark,12069,LK,Brandenburg,19.565217391304348,45.8498023715415,34.18972332015811,0.3952569169960474,55.432372505543235,44.567627494456765,0.0,6.324110671936759
LK Prignitz,12070,LK,Brandenburg,0.0,64.0,36.0,0.0,70.83333333333334,29.166666666666668,0.0,0.0
LK Rastatt,8216,LK,Baden-Württemberg,22.65625,47.65625,29.6875,0.0,45.39325842696629,54.606741573033716,0.0,3.125
LK Ravensburg,8436,LK,Baden-Württemberg,26.032315978456015,48.114901256732495,25.852782764811487,0.0,51.1578947368421,48.84210526315789,0.0,1.2567324955116697
LK Recklinghausen,5562,LK,Nordrhein-Westfalen,32.617342879872716,43.03898170246619,24.105011933174225,0.23866348448687352,46.88128772635815,52.61569416498993,0.5030181086519114,2.94351630867144
LK Regen,9276,LK,Bayern,41.23711340206185,37.628865979381445,21.1340206185567,0.0,38.75,61.25000000000001,0.0,5.154639175257731
LK Regensburg,9375,LK,Bayern,25.219298245614034,50.0,24.780701754385966,0.0,50.83932853717026,49.16067146282973,0.0,3.070175438596491
LK Rems-Murr-Kreis,8119,LK,Baden-Württemberg,26.19363395225464,41.180371352785144,32.62599469496021,0.0,53.26315789473684,46.63157894736842,0.10526315789473684,5.039787798408488
LK Rendsburg-Eckernförde,1058,LK,Schleswig-Holstein,17.857142857142858,42.857142857142854,39.285714285714285,0.0,46.75324675324675,53.246753246753244,0.0,5.555555555555555
LK Reutlingen,8415,LK,Baden-Württemberg,20.184696569920842,39.37994722955145,39.775725593667545,0.6596306068601583,53.61702127659574,45.21276595744681,1.1702127659574468,4.5514511873350925
